,职位ID,职位名,薪资范围,公司ID,公司名,职位链接,发布时间,猎头名称,猎头ID,工作经验,公司主页,公司描述,岗位亮点
286,6643561,计量计费研发工程师,13k-26k,31164,青云,https://www.lagou.com/jobs/6643561.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验不限 / 本科,https://www.lagou.com/gongsi/v1/ada481684f19c876d4e9a6f82ae94bbe9744a32a23262b09.html,IT技术服务｜咨询 / D轮及以上 / 500-2000人,“大牛多多”
287,8905961,计算机视觉算法工程师,20k-40k,62363,万科,https://www.lagou.com/jobs/8905961.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验3-5年 / 本科,https://www.lagou.com/gongsi/v1/b3069b1fc365a5b5b1616c4fb448d6a2330522f8d22139f0.html,房地产｜建筑｜物业 / 上市公司 / 2000人以上,“世界500强”
288,8429414,图像算法工程师,15k-30k,62363,万科,https://www.lagou.com/jobs/8429414.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验3-5年 / 本科,https://www.lagou.com/gongsi/v1/cc612d738ac615ff8d6532a1b0ebfd1b1a1f99d044112a41.html,房地产｜建筑｜物业 / 上市公司 / 2000人以上,“世界500强；福利好；弹性工作”
289,8228559,机器学习工程师,15k-30k,255155,易久批,https://www.lagou.com/jobs/8228559.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/174c68a6d1f30320052573e6d130405c2321882571d09fe7.html,电商平台 / D轮及以上 / 2000人以上,“周末双休，年终奖金，股票期权”
290,7940479,架构师,15k-30k,31164,青云,https://www.lagou.com/jobs/7940479.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验10年以上 / 本科,https://www.lagou.com/gongsi/v1/2e36f149f951cedcff7afd65f7cd3ff252172765385b7770.html,IT技术服务｜咨询 / D轮及以上 / 500-2000人,“云计算”
291,8812006,运维工程师,17k-20k,122400892,数支互联,https://www.lagou.com/jobs/8812006.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/9703940024cb124a4ee37e2c1c7a54f8ea50ed5078c1651802caf90db5e30a16.html,"软件服务｜咨询,数据服务｜咨询,信息安全 / 天使轮 / 15-50人",“大牛带队，大数据，云计算，朝阳行业”
292,8518703,【22届武汉实习生】大数据开发工程师,2k-3k,104298,北明软件,https://www.lagou.com/jobs/8518703.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验在校/应届 / 本科,https://www.lagou.com/gongsi/v1/20a9de42b16bf78bab1743ca20cb1e7285ca9a3b3fc7170d.html,"移动互联网,数据服务 / 上市公司 / 2000人以上",“双休”
293,7857054,计算机视觉算法实习生,3k-4k,404268,武汉TCL,https://www.lagou.com/jobs/7857054.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验在校/应届 / 硕士,https://www.lagou.com/gongsi/v1/85d83195b1f108b9b5bccd8c3015bbb1d7e345a93b2fb161.html,移动互联网 / 未融资 / 15-50人,“表现优秀者有转正机会”
294,8830240,客服专员,4k-7k,121896463,大瀚人力资源管理,https://www.lagou.com/jobs/8830240.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/3ed9f60e69064d2fae52c546d09898a97958b41c2ec4694d55b46d8c1beae856.html,企业服务 / 不需要融资 / 50-150人,“年假，租房补贴，六险一金，双休”
295,7804479,NLP算法工程师,15k-25k,87751,烽火普天,https://www.lagou.com/jobs/7804479.html?show=18e8073f7d404fca98852914081537ff,1天前发布,,,经验1-3年 / 本科,https://www.lagou.com/gongsi/v1/9d875219805456a6d482aa84cfbaa2e463641e94f7bcc3ed.html,"企业服务,数据服务 / A轮 / 50-150人",“大牛带你飞；花样福利；年轻团队”
296,7495031,资深数据分析师,15k-30k,34205,微派,https://www.lagou.com/jobs/7495031.html?show=18e8073f7d404fca98852914081537ff,2021-06-10,,,经验3-5年 / 本科,https://www.lagou.com/gongsi/v1/c73190e6f05981b51c6f88de45e7907a975e0effbb8701eb.html,"游戏,社交平台 / B轮 / 150-500人",“扁平架构，技术氛围浓厚”
297,8327527,数据挖掘工程师,15k-30k,34205,微派,https://www.lagou.com/jobs/8327527.html?show=18e8073f7d404fca98852914081537ff,2021-06-10,,,经验不限 / 本科,https://www.lagou.com/gongsi/v1/d5e4f5de2466b9bb694832a9202c2edef761aa9c2d612977.html,"游戏,社交平台 / B轮 / 150-500人",“亿级用户 福利好”
298,8971549,通用软件工程师,15k-30k,3060,华为技术有限公司,https://www.lagou.com/jobs/8971549.html?show=18e8073f7d404fca98852914081537ff,2021-06-11,,,经验不限 / 本科,https://www.lagou.com/gongsi/v1/c0d7730901ae963878f88a024f8cdd726ba236b2c256d784.html,"智能硬件,IT技术服务｜咨询,制造业 / 不需要融资 / 2000人以上",“鸿蒙生态Java开发”
299,8961334,测试负责人,25k-45k,132108,伴伴,https://www.lagou.com/jobs/8961334.html?show=18e8073f7d404fca98852914081537ff,2021-06-10,,,经验3-5年 / 本科,https://www.lagou.com/gongsi/v1/d0fd61630cba381e4ca33ddc7a31312cbc1f508e30bd25da.html,社交平台 / 不需要融资 / 500-2000人,“六险一金 下午茶 年度出游”
